#{"date": "2014-06-02T11:25:32.000311", "MAC": "...", "ChannelsOrder": ["SeqN", "Digital0", "Digital1", "Digital2", "Digital3", "Analog0", "Analog1", "Analog2", "Analog3", "Analog4", "Analog5" ]}
0	1	1	1	1	455	0	494	307	11	0
1	1	1	1	1	457	0	483	307	11	0
2	1	1	1	1	455	0	504	307	11	0
3	1	1	1	1	451	0	489	307	11	0
4	1	1	1	1	455	0	504	307	11	0
5	1	1	1	1	455	0	487	307	11	0
6	1	1	1	1	455	0	500	307	11	0
7	1	1	1	1	455	0	499	307	11	0
8	1	1	1	1	455	0	494	307	11	0
9	1	1	1	1	455	0	492	307	11	0
10	1	1	1	1	455	0	508	307	11	0
11	1	1	1	1	452	0	483	307	11	0
12	1	1	1	1	454	0	503	307	11	0
13	1	1	1	1	453	0	492	307	11	0
14	1	1	1	1	455	0	499	307	11	0
15	1	1	1	1	455	0	480	307	11	0
0	1	1	1	1	455	0	515	307	11	0
1	1	1	1	1	455	0	484	307	11	0
2	1	1	1	1	451	0	493	307	11	0
3	1	1	1	1	451	0	489	307	11	0
4	1	1	1	1	451	0	503	307	11	0
5	1	1	1	1	454	0	496	307	11	0
6	1	1	1	1	455	0	499	307	11	0
7	1	1	1	1	451	0	491	307	11	0
8	1	1	1	1	454	0	507	307	11	0
9	1	1	1	1	451	0	487	307	11	0
10	1	1	1	1	454	0	499	307	11	0
11	1	1	1	1	455	0	501	307	11	0
12	1	1	1	1	455	0	504	307	11	0
13	1	1	1	1	455	0	487	307	11	0
14	1	1	1	1	452	0	507	307	11	0
15	1	1	1	1	454	0	503	307	11	0
0	1	1	1	1	451	0	505	307	11	0
1	1	1	1	1	459	0	492	307	11	0
2	1	1	1	1	452	0	499	307	11	0
3	1	1	1	1	454	0	497	307	11	0
4	1	1	1	1	455	0	505	307	11	0
5	1	1	1	1	455	0	497	307	11	0
6	1	1	1	1	455	0	504	307	11	0
7	1	1	1	1	451	0	496	307	11	0
8	1	1	1	1	455	0	508	307	11	0
9	1	1	1	1	457	0	497	307	11	0
10	1	1	1	1	452	0	512	307	11	0
11	1	1	1	1	454	0	505	307	11	0
12	1	1	1	1	454	0	508	307	11	0
13	1	1	1	1	457	0	510	307	11	0
14	1	1	1	1	455	0	498	307	11	0
15	1	1	1	1	455	0	504	307	11	0
0	1	1	1	1	451	0	504	307	11	0
1	1	1	1	1	455	0	502	307	11	0
2	1	1	1	1	452	0	518	307	11	0
3	1	1	1	1	455	0	515	307	11	0
4	1	1	1	1	455	0	512	307	11	0
5	1	1	1	1	455	0	512	307	11	0
6	1	1	1	1	454	0	543	307	11	0
7	1	1	1	1	457	0	499	307	11	0
8	1	1	1	1	451	0	502	307	11	0
9	1	1	1	1	455	0	504	307	11	0
10	1	1	1	1	454	0	502	307	11	0
11	1	1	1	1	455	0	504	307	11	0
12	1	1	1	1	451	0	504	307	11	0
13	1	1	1	1	455	0	455	307	11	0
14	1	1	1	1	452	0	495	307	11	0
15	1	1	1	1	451	0	651	307	11	0
0	1	1	1	1	457	0	807	307	11	0
1	1	1	1	1	455	0	673	307	11	0
2	1	1	1	1	455	0	365	307	11	0
3	1	1	1	1	448	0	415	307	11	0
4	1	1	1	1	455	0	513	307	11	0
5	1	1	1	1	457	0	487	307	11	0
6	1	1	1	1	455	0	508	307	11	0
7	1	1	1	1	455	0	489	307	11	0
8	1	1	1	1	454	0	502	307	11	0
9	1	1	1	1	455	0	510	307	11	0
10	1	1	1	1	454	0	515	307	11	0
11	1	1	1	1	455	0	505	307	11	0
12	1	1	1	1	455	0	519	307	11	0
13	1	1	1	1	455	0	507	307	11	0
14	1	1	1	1	451	0	511	307	11	0
15	1	1	1	1	457	0	508	307	11	0
0	1	1	1	1	451	0	523	307	11	0
1	1	1	1	1	455	0	523	307	11	0
2	1	1	1	1	455	0	527	307	11	0
3	1	1	1	1	455	0	527	307	11	0
4	1	1	1	1	452	0	544	307	11	0
5	1	1	1	1	455	0	525	307	11	0
6	1	1	1	1	451	0	551	307	11	0
7	1	1	1	1	455	0	563	307	11	0
8	1	1	1	1	455	0	574	307	11	0
9	1	1	1	1	454	0	577	307	11	0
10	1	1	1	1	446	0	585	307	11	0
11	1	1	1	1	452	0	591	307	11	0
12	1	1	1	1	452	0	596	307	11	0
13	1	1	1	1	452	0	560	307	11	0
14	1	1	1	1	449	0	535	307	11	0
15	1	1	1	1	455	0	521	307	11	0
0	1	1	1	1	455	0	511	307	11	0
1	1	1	1	1	455	0	472	307	11	0
2	1	1	1	1	454	0	497	307	11	0
3	1	1	1	1	451	0	492	307	11	0
4	1	1	1	1	455	0	496	307	11	0
5	1	1	1	1	454	0	486	307	11	0
6	1	1	1	1	454	0	494	307	11	0
7	1	1	1	1	455	0	491	307	11	0
8	1	1	1	1	454	0	483	307	11	0
9	1	1	1	1	455	0	504	307	11	0
10	1	1	1	1	451	0	494	307	11	0
11	1	1	1	1	455	0	496	307	11	0
12	1	1	1	1	455	0	505	307	11	0
13	1	1	1	1	449	0	494	307	11	0
14	1	1	1	1	457	0	508	307	11	0
15	1	1	1	1	455	0	493	307	11	0
0	1	1	1	1	454	0	487	307	11	0
